schema_version,pair,pair_type,task,split,positive_groups,total_groups,support_rate,wilson95_low,wilson95_high,bonferroni9_lcb_sensitivity,positive_samples,sample_count,direct_support_ceiling,eligible_parents,m0,m1,m2,m3,m4
2,tinyllama,heterogeneous,ai2-arc,fit_calibration,511,511,1,0.99253855967719973,1,0.98753987598299409,511,511,1,65907,0,52839,9640,3187,241
2,tinyllama,heterogeneous,openbookqa,fit_calibration,228,228,1,0.98343066490249675,1,0.97249934151073281,228,228,1,24173,0,19108,3705,1353,7
2,tinyllama,heterogeneous,mmlu-redux,fit_calibration,2495,2495,1,0.99846270406346349,1,0.99742250851867997,2504,2504,1,393813,0,320152,55677,16788,1196
2,qwen25_0p5b,heterogeneous,ai2-arc,fit_calibration,0,511,0,4.3368086899420177e-19,0.0074614403228004285,0,0,511,0,65907,0,65907,0,0,0
2,qwen25_0p5b,heterogeneous,openbookqa,fit_calibration,0,228,0,0,0.016569335097503433,0,0,228,0,24173,0,24173,0,0,0
2,qwen25_0p5b,heterogeneous,mmlu-redux,fit_calibration,56,2495,0.022444889779559118,0.017325064034957004,0.029033002584989531,0.016055538474398036,56,2504,0.022364217252396165,393813,0,393403,410,0,0
2,llama32_1b,heterogeneous,ai2-arc,fit_calibration,0,511,0,4.3368086899420177e-19,0.0074614403228004285,0,0,511,0,65907,0,65907,0,0,0
2,llama32_1b,heterogeneous,openbookqa,fit_calibration,0,228,0,0,0.016569335097503433,0,0,228,0,24173,0,24173,0,0,0
2,llama32_1b,heterogeneous,mmlu-redux,fit_calibration,50,2495,0.02004008016032064,0.015234044977660798,0.026321796211920382,0.014055787785244847,50,2504,0.019968051118210862,393813,0,393507,306,0,0
2,qwen3_1p7b,same_tokenizer_control,ai2-arc,fit_calibration,0,511,0,4.3368086899420177e-19,0.0074614403228004285,0,0,511,0,65907,0,65907,0,0,0
2,qwen3_1p7b,same_tokenizer_control,openbookqa,fit_calibration,0,228,0,0,0.016569335097503433,0,0,228,0,24173,0,24173,0,0,0
2,qwen3_1p7b,same_tokenizer_control,mmlu-redux,fit_calibration,56,2495,0.022444889779559118,0.017325064034957004,0.029033002584989531,0.016055538474398036,56,2504,0.022364217252396165,393813,0,393403,410,0,0
